user_id,data_ecg
1,1822
1,1836
1,1808
1,1834
1,1830
1,1833
1,1821
1,1829
1,1861
1,1843
1,1814
1,1824
1,1830
1,1808
1,1827
1,1805
1,1821
1,1823
1,1823
1,1819
1,1832
1,1839
1,1832
1,1835
1,1831
1,1819
1,1826
1,1818
1,1805
1,1820
1,1840
1,1819
1,1817
1,1824
1,1818
1,1823
1,1808
1,1813
1,1813
1,1840
1,1834
1,1818
1,1826
1,1817
1,1840
1,1798
1,1835
1,1834
1,1840
1,1821
1,1826
1,1822
1,1829
1,1856
1,1858
1,1834
1,1845
1,1850
1,1812
1,1818
1,1811
1,1842
1,1862
1,1825
1,1823
1,1840
1,1811
1,1841
1,1814
1,1840
1,1813
1,1812
1,1831
1,1815
1,1837
1,1829
1,1822
1,1831
1,1813
1,1843
1,1857
1,1693
1,1795
1,1735
1,2697
1,1831
1,1828
1,1827
1,1831
1,1838
1,1825
1,1837
1,1786
1,1826
1,1840
1,1839
1,1808
1,1796
1,1797
1,1834
1,1827
1,1822
1,1790
1,1815
1,1825
1,1806
1,1824
1,1854
1,1831
1,1852
1,1806
1,1877
1,1811
1,1845
1,1858
1,1845
1,1820
1,1811
1,2901
1,1826
1,1890
1,1834
1,1803
1,1808
1,1831
1,1825
1,1807
1,1821
1,1817
1,1779
1,1822
1,1821
1,1855
1,1835
1,1834
1,1815
1,1868
1,1936
1,1819
1,1837
1,2171
1,1812
1,1862
1,1840
1,1834
1,2373
1,2490
1,1820
1,2320
1,1840
1,2607
1,2423
1,1850
1,2543
1,1931
1,1808
1,2544
1,1850
1,1806
1,1825
1,1856
1,1840
1,1795
1,1842
1,1821
1,1819
1,1808
1,1810
1,1805
1,1798
1,1845
1,2251
1,1776
1,1815
1,1863
1,1867
1,1659
1,2030
1,1856
1,1594
1,2114
1,1879
1,1840
1,1828
1,1826
1,1808
1,1819
1,1813
1,1830
1,1837
1,1856
1,2227
1,2295
1,1858
1,1847
1,1840
1,1792
1,1840
1,1879
1,1856
1,1866
1,1824
1,1834
1,1851
1,1829
1,1831
1,2138
1,1826
1,1834
1,1847
1,1818
1,1853
1,1808
1,1851
1,1858
1,1861
1,1823
1,1830
1,1863
1,1853
1,1809
1,1856
1,1822
1,1833
1,1856
1,1840
1,1840
1,1847
1,1819
1,1827
1,1882
1,1828
1,1839
1,1857
1,1813
1,1867
1,2224
1,1797
1,1803
1,1818
1,1839
1,1845
1,1808
1,1808
1,2292
1,1799
1,1881
1,1849
1,1795
1,1825
1,1850
1,1809
1,1808
1,1859
1,2017
1,1817
1,1854
1,1840
1,1835
1,1807
1,1829
1,1825
1,1814
1,1845
1,1815
1,1834
1,1826
1,1993
1,1811
1,1841
